Veje til Kina - Rejseoplevelser i Kina i 1978 og 1988,Bodil Graae, fra 1990 på forlaget Holkenfeldts,ISBN: 87-7720-177-9,33868.jpg,20,4,"To rejser, to vidt forskellige indgange til Kina, ad den officielle vej med alt arrangeret, og den individuelle vej, hvor alt kan ske, danner baggrunden for de oplevelser, Bodil Graae fortæller om. Paperback, 172 sider, illustreret med fotos. 247g.", Dokumentar, Historie:Kultur, Fortællinger,,,,,,,,
Your Copenhagen Guidebook,Kirsten Engsig, fra 1987 på forlaget Politiken,ISBN: 87-567-4237-1,33522.jpg,20,5,"Hft. 120 sider, 134 gram", Rejsebøger/guides,,,,,,,,,,
Bjørnehistorier - Disney's Bjørnebrødre,Søren Brinch Vestergaard (red), fra 2004 på forlaget Sesam,ISBN: 87-11-21341-8,33191.jpg,30,4,"Indb. 29x29cm. 106sider, illustreret i farver. Der er udvendig slid på et hjørne, ellers er bogen i fin stand. 1061gram.", Skønlitteratur, Børnebøger,,,,,,,,,
Junker & Co,Morten A. Korch, fra 1970 på forlaget Branner og Korch,ISBN: 87-411-8396-7,33274.jpg,20,4,Nutidsroman om de røde og hvide junkere. Fotografisk genoptryk af bogudgave fra 1922. Indb. 222sider. 316g., Skønlitteratur,,,,,,,,,,
På fattighuset Greve Hospital og andre fattighuse på landet i 1700- og 1800-tallet,Ingeborg Christmas-Møller, fra 1979 på forlaget Nationalmuseet,ISBN: 87-480-0180-5,33502.jpg,30,4,"Hft. 171 sider, illustreret. 369g.", Samfund & historie, Samfundsvidenskab,,,,,,,,,
Elephant Parade Art Book - Copenhagen 2011,Elephant Parade, fra 2011 på forlaget Colophon,ISBN: 9789490725068,33711.jpg,30,6,"Elephant Parade er den største udendørs kunstudstilling på verdensplan, der støtter den asiatiske elefants bevarelse. Elefantskulpturene er dekorerede af kunstnere. 
Efter udstillingen sælges skulpturerne på auktion til fordel for asiens elefanter. Indb. 21,5x21,5cm. 174sider. 732g.", Studiebøger, Kunst & kultur,,,,,,,,,
Benneweis - en cirkusfamilies historie,Ole Ege,1. udgave fra 1987 på forlaget Politiken,ISBN: 87-567-4296-7,34086.jpg,30,6,"Fortællingen om hvordan en lille gøglertrup med tre hunde, et par geder og en enkelt beboelses ogn udvikler sig til et storslået cirkusdynasti. Hardback, 160 sider, illustreret med fotos. Som ny. 504g", Studiebøger, Historie:Kultur, Biografier,,,,,,,,
Henrik Sørensen - Opptegnelser og skisser,"Redaktion: Barthold og Ragnhild Butenschøn, Willi Midelfart og Odd Eidem"," fra 1963 på forlaget Dreyer, Oslo",,33337.jpg,40,5,"Norsk Kunstbog, Indb. 20x26cm. 159 sider, illustreret med kunstnerens skitser. 599 gram", Biografier, Kunst & kultur,,,,,,,,,
P. A. Schou,Niels TH. Mortensen (red), fra 1944 på forlaget Fischers,,34014.jpg,20,4,Kunstbog. Indb. 20x24cm. 103sider. Illustreret med malerier af P. A. Schou. 569gram., Kunsthistorie, Biografier,,,,,,,,,
Fra de svundne dage (mejerier),Poul Jeppesen, fra 1962 på forlaget Dansk Mejeristforening,,34027.jpg,25,5,"Om mejeriernes udvikling. Nogle tidsbilleder 1887-1962 udsendt af Dansk Mejeristforening i anledning af foreningens 75-års jubilæum. Indb. 195sider, illustreret med tegninger af Gustav Hjortlund. 577g.", Studiebøger, Industri, Håndværk, Historie:Danmark,,,,,,,
Sol over Mexico,Aage Krarup Nielsen, fra 1950 på forlaget Gyldendal ,,33447.jpg,30,4,"Om Mexico - historie - kultur - natur - folkeliv. Hft. 19x26cm. 198 sider, illustreret. 465g.", Historie:Kultur, Folkeslag, Etnografi og Antropologi,,,,,,,,
Rejse gennem Tibet,André Migot, fra 1955 på forlaget E. Wangels,,33996.jpg,25,4,"En bog om besøg i ukendte egne af verden, i Tibet, 1946-47. Hft. 225sider, illustreret med fotos. 497gram.", Samfund & historie, Etnografi og Antropologi, Opdagelsesrejser - ekspeditioner,,,,,,,,
Storm over Mellemøsten,Kurt Olsen, fra 1957 på forlaget H. Hirschsprungs,,33423.jpg,25,4,"Hft. 179 sider, illustreret. 401gram.", Politik, Dokumentar, Historie:Verden,,,,,,,,
Hverdagskunst - Verdenskunst - en oversigt over Europas Stiludvikling,R. Broby-Johansen, fra 1948 på forlaget Gyldendal/Nordisk,,33779.jpg,30,4,"Indb. 18,5x25,5cm. 204sider, illustreret . 736g.", Kunsthistorie,,,,,,,,,,
Jammers-Minde - Leonora Christina's skildring af hendes fangenskab i Blaataarn i aarene 1663-1685,"Leonora Christina, Grevinde Ulfeldt", fra 1900 på Gyldendalske Boghandels forlag,,33346.jpg,35,4,"Antikvarisk bog i fin stand. Med indled og oplysende anmærkninger af S. Birket Smith. Indb. 124sider, 418gram.", Biografier, Historie:Danmark, Fortællinger,,,,,,,,
Genopbygningen af København efter branden i 1795,Kirsten-Elizabeth Jessen, fra 1958 på forlaget Arkitektens,,33995.jpg,25,5,"Udgivet af Foreningen til gamle bygningers bevaring. Hft. uopskåret, 70sider. 238g.", Studiebøger, Arkitektur, Historie:Danmark, Lokalhistorie,,,,,,,
Mogens Bøggild - et udvalg af billeder med indledende tekst,Aksel Rode, fra 1942 på forlaget Rasmus Naver,,33936.jpg,20,4,"Hft. 47 sider, illustreret. 175g.", Kunsthistorie,,,,,,,,,,
Den ædle danske Idyl - et stykke dansk kulturhistorie,Bernhard Jensen, fra 1960 på forlaget Gyldendal,,33494.jpg,20,4,"Dansk kulturhistorie fra oplysnings tiden og romantikken, en kærlighedserklæring til en dansk storhedstid. Illustreret med samtidens store kunstneres tegninger. Hft 134sider. 343gram.", Studiebøger, Historie:Kultur,,,,,,,,,
Danmark før og nu - Sjælland,Johannes Brøndsted (red), fra 1955 på forlaget Alfred og Hassings,,33545.jpg,50,4,"Sjælland - Frederiksborg, Københavns, Holbæk, Sorø og Præstø amter.  Indb. Med læderryg. 20x28cm. 462 sider, illustreret med mange historiske s-h. fotos, 1643gram.", Studiebøger, Lokalhistorie, Historie:Danmark,,,,,,,,
Copenhagen University 500 Years of Science and Scholarship,Svend Erik Stybe, fra 1979 på forlaget The Royal Danish Ministry of Foreign Affairs,ISBN: 87-87646-15-3,33932.jpg,40,5,"Om udviklingen i Danmark gennem 500år - engelsk tekst. Indb. 219 sider, illustreret. Fin stand. 720g.", Studiebøger, Samfundsvidenskab, Historie:Kultur, Dokumentar,,,,,,,
I Dilmun tier ravnen,Geoffrey Bibby, fra 1971 på forlaget Wormianum,,33671.jpg,30,4,"Om de mange ekspeditioner det tog at finde Dilmun, en 4000 år gammel, forsvunden civilisation. Indb. 20x27,5cm. 304sider, illustreret. Brugt biblioteksbog i god stand. 1073g.", Samfundsvidenskab, Historie:Kultur, Historie:Verden, Opdagelsesrejser - ekspeditioner, Arkæologi,,,,,,
Juletoner - julebogen for voksne,B. S. Lundsgaard med flere, fra 1974 på forlaget Mod Jul ,,33673.jpg,10,4,"Paperback, 128sider med 18 fortællinger. 168gram", Skønlitteratur, Noveller, Fortællinger,,,,,,,,
Vores sommerkøkken,Jonna Dwinger og Ebbe Mørk, fra 1978 på forlaget komma,ISBN: 87-7512-018-6,33485.jpg,20,5,"Indb. 175 sider, 252 gr. illustreret af Peder Nyman. Pæn stand. Sunde spændende retter sommer mad.", Faglitteratur, Mad & gastronomi,,,,,,,,,
Syng dig glad,Peder Jakobsen,7. udgave fra 1922 på forlaget Det Schønbergske,,33931.jpg,10,3,"Lille rødt ""Sanghæfte for Højskolen i Ry, men også for andre i land og by"". Hft. i lommeformat, 149sider, 80g.", Musik, Hobby,,,,,,,,,
British and European Wild Flowers,Chatto Nature Guides, fra 1978 på forlaget Chatto  &Windus,ISBN: 0-7011-2324-9,33399.jpg,20,,Chatto Nature Guides. Illustrated and identified with colour photographs. Hft. 12x18cm. 143sider. Som ny. 184g.,, Faglitteratur, Naturvidenskab, Botanik,,,,,,,
Poisonous Plants and Animals - Chatto Nature Guides,Horst Altmann (red), fra 1980 på forlaget Chatto & Windus,ISBN: 0-7011-2526-8,33642.jpg,20,6,"Illustrated and identified with colour photographs. Hft. 12x18cm.143 sider, 191 gram.", Naturvidenskab, Hobby, Biologi,,,,,,,,
Eremitten ved Grenaa og syv andre noveller,St. St. Blicher, fra 1898 på forlaget Gyldendalske Boghandel,,33948.jpg,25,5,Antikvarisk bog. Gotisk skrift. 8 noveller af St. St. Blicher. Indb. lille rød bog med guldtryk. 12x18cm. 159sider. Fin stand. 177g., Skønlitteratur, Noveller,,,,,,,,,
Fra Øresund til Thule,Axel Ahlman, fra 1957 på forlaget Grafisk,,33268.jpg,25,4,"Sommersejladser og grønlandstogter. Hft. 223sider, illustreret med tegninger af Harald Moltke. Brugsspor udvendig. 448g.", Studiebøger, Samfundsvidenskab, Grønland, Opdagelsesrejser - ekspeditioner,,,,,,,
Grønnegade - Erindringsglimt,Niels Th. Mortensen, fra 1975 på forlaget Schweitzers Bogtrykkeri,,33914.jpg,20,4,"Hft. 47 sider, illustreret med tegninger af Albert Bertelsen. 146 gr.", Studiebøger, Erindringer, Biografier,,,,,,,,
Eet liv - mange liv - Erindringer 1910-1925,Clara Pontoppidan, fra 1950 på forlaget Westermann,,33302.jpg,25,4,"Skuespilleren, Clara Pontoppidan, fortæller om sine rigt bevægede ungdomsår. Hft. 220 sider, illustreret med fotos. 508g.", Studiebøger, Erindringer, Biografier,,,,,,,,
Midt i en klunketid - Erindringer fra en begivenhedsrig barndom,Benjamin Jacobsen, fra 1969 på forlaget Hasselbalch,,33800.jpg,15,4,"Paperback, 174 sider, illustreret med sjove tegninger af Des Asmussen. 141g.", Skønlitteratur, Erindringer, Humor,,,,,,,,
Antikviteter II,Petra Clarijs, fra 1962 på forlaget C. A. Reitzels,,33453.jpg,20,4,"Om porcelæn, kinesisk, lertøj, kakler, tysk stentøj, Engelsk kreamik, Europæisk porcelæn, glas, slebet krystal, brevpressere, kugler, opaline, ure, spejle, rammer, o.a. 
Hft. 85sider, illustreret med fotos og tegninger. 165g.", Studiebøger, Antikviteter,,,,,,,,,
Fidusantikviteter - Antikvitetsfiduser,Gorm Benzon, fra 1973 på forlaget Nyt Nordisk ,ISBN: 87-17-01698-3,33557.jpg,35,5,"Indb. 266sider, illustreret. Udg.biblioteksbog. Fin stand. 638g.", Studiebøger, Antikviteter,,,,,,,,,
Danske folkeviser 1+2 - Trylleviser - Kæmpeviser - Historiske Viser - Ridderviser - Lyrik - Romanviser - Skæmteviser,Ernst Frandsen, fra 1971 på forlaget Thaning og Appels,ISBN: 87-413-3092-7 og 87-413-3098-6,33555.jpg,40,5,"Folkeviser, Trylleviser, Kæmpeviser, Historiske viser. - Ridderviser. Lyrik. Romanvise. Skæmteviser.
Hft. 11,5x18cm. 189 + 143sider, illustreret af Povl Christensen. Fin stand. 439g.", Skønlitteratur, Digte, Musik,,,,,,,,
Uden retur - noveller,Karl Bjarnhof, fra 1965 på forlaget Gyldendal,,33650.jpg,20,5,"Indeholder 5 noveller, hvis gennemgående tema er menneskets reaktioner, når det ved egen skyld eller på grund af omstændighedernes pres er kommet i en situation, hvorfra der ikke fører nogen vej tilbage. Hft. 156 sider, som ny, uopskåret. 294g.", Psykologi, Noveller,,,,,,,,,
Der står en kvinde bagved alt!,Henning O'Strit, på forlaget Branner og Korch,,33729.jpg,15,4,"Hft. 12,5x16,5cm. 76sider med citater og tegninger. 77g.", Skønlitteratur, Humor,,,,,,,,,
Møde med Albert Schweitzer - streger til et portræt,Ebbe Rode, fra 1959 på forlaget J. H. Schultz,,33586.jpg,20,4,"Lægen, som i Afrika kæmpede for de primitive mod landets sygdomme. Hft. 63 sider, 120g.", Biografier, Erindringer,,,,,,,,,
Middelalderens Glasmaleri - Fremmed kunst bind VI,Heribert Hutter, fra 1965 på forlaget Politiken,,33904.jpg,20,5,"Indb. 13,5x18,5cm. 63 sider, 24 farve plancher af glasmalerier, især fra kirker. 129g.", Kunst & kultur,,,,,,,,,,
Jagt og vildt,Knud Paludan, på forlaget Jagt- og Skovbrugsmuseet,,33561.jpg,20,4,"Hft. 79 sider, illustreret. 116g.", Faglitteratur, Jagt/fiskeri,,,,,,,,,
Museumsgaardens Saga - om Køge museum,N. P. Nielsen," fra 1958 på forlaget Østsjællands Folkeblads bogtrykkeri, Køge",,33169.jpg,15,5,"Hft. 35 sider, 79g.", Lokalhistorie,,,,,,,,,,
Et hjertes undergang,Stefan Zweig, fra 1957 på forlaget Stjernebøgerne,,33916.jpg,15,4,"Hardback. 205 sider, 212 gram.", Skønlitteratur, Noveller,,,,,,,,,
Som man reder ...,Mette Skougaard, fra 1983 på forlaget Nationalmuseet,ISBN: 87-480-0444-8,33418.jpg,15,6,"Om sengesteder, soveskik og sengeopredning i 1800-tallets landbohjem. Hft. 15x17cm. 43sider, illustreret af Beth Beyerholm. 78g.", Lokalhistorie, Historie:Kultur,,,,,,,,,
Vildanden - skuespil i fem akter,Henrik Ibsen, fra 1942 på forlaget Gyldendal,,33936.jpg,15,3,"Udgivet af dansklærerforeningen med indledning og kommentarer ved Brorson Fich.  Bogen har været brugt til undervisning, der er markeringer og kommentarer. Hft. 108sider. 187g.", Skuespil,,,,,,,,,,
Min første svampebog,Eigil Tryel, fra 1976 på forlaget Wøldike,ISBN: 87-7233-723-0,33384.jpg,20,5,"For begyndere i den ædle svampejagt, men også for de svampejægere som kun plukker et begrænset udvalg af svampe, og som føler sig usikre. Med denne svampebog i hånden er der ingen risiko ved at plukke svampe. Hft. 63sider, illustreret med tegninger. 105 gram.", Faglitteratur, Svampe,,,,,,,,,
Husk at leve - udvalgte digte og gruk,Piet Hein, fra 1973 på forlaget Borgen,ISBN: 87-418-1959-4,33623.jpg,20,5,"Hft. 173 sider, 167g.", Skønlitteratur, Humor, Digte,,,,,,,,
Kongens historier - Vor vens Bøger,Børge Janssen, fra 1911 på Danske læreres forlag,,33870.jpg,15,4,"Antikvarisk bog. Vor vens bøger. Indb. 140 sider, illustreret af Luplau Janssen. 190g.", Ungdom, Skønlitteratur,,,,,,,,,
Tænke tænke tænke 333 morsomme opgaver og intelligensprøver- med løsninger,H. E. Dudeney, fra 1949 på forlaget Grafisk,,33155.jpg,35,5,"Bogen rummer er væld af opgaver for den matematik-interesserede, for den skarpsindige, for kortspilleren, for skakinteresserede, kabaler, tændstikopgaver, kort sagt tidsfordriv og morskab af enhver art for børn og voksne.Indb. 272 sider, 545 gram.", Faglitteratur, Hobby, Varia, Matematik,,,,,,,
Dutch master Drawings of the seventeenth century,J. Q. van Regteren Altena (red), fra 1949 på forlaget A. Zwemmer,,33576.jpg,30,4,"With 59 illustrations, selected and with an introduction by J. Q. van Regteren Altena.
Indb. 18x25cm. 56 sider. 346g.", Studiebøger, Kunsthistorie,,,,,,,,,
Goya,Jean Adhemar, fra 1948 på forlaget House of Beric London,,33814.jpg,25,5,"Kunstbog. Biografi om Goya, engelsk, illustreret med mange fotos af malerier i s/h og farve. Indb. 112 sider, smudsomslag er slidt. 416g.", Studiebøger, Kunst & kultur,,,,,,,,,
"Det sker kun for naboen  - Sjælesorg for syge, døende og pårørende",Bente Chemnitz, fra 1999 på forlaget Gyldendals,ISBN: 87-00-62917-0,33630.jpg,35,6,"Forfatteren er sognepræst og tidligere hospitalspræst. Ment som hjælp til mennesker i nød. Sørgende, døende, syge og pårørende. Indb. 246sider. 549gram.", Studiebøger, Sygdom/sundhed, Psykologi,,,,,,,,
Sommerglæder,Herman Bang, på forlaget Lademann,,34097.jpg,25,5,"Indb. 175 sider, illustreret af Svend Otto S. 457g.", Skønlitteratur,,,,,,,,,,
Bomskud & Pletskud - Jægerliv i Danmark,Mogens Espersen,1. udgave fra 1998 på forlaget Gyldendal,ISBN: 87-00-34258-0,33988.jpg,40,6,"Bomskud og Pletskud har det hele jagtens spænding og romantik, naturoplevelsen, stridighederne, vildtplejen og humoren. Indbinding: Helshirting med smudsomslag Tilstand: Fejlfrit eksemplar. 368 sider, 895 gram.", Faglitteratur, Jagt/fiskeri,,,,,,,,,
Folkedragter i nationalmuseet,Ellen Andersen, fra 1971 på forlaget Nationalmuseet,ISBN: 87-480-7362-8,33462.jpg,35,5,Om beklædning til hverdag og fest. Hft. 87 sider med illustrationer og historisk beskrivelse. Fin stand. 214g, Studiebøger, Historie:Kultur, Lokalhistorie, Folklore,,,,,,,
Landsbyen - en konge og hans tid 3,Helge Stavnsbjerg,2. udgave fra 1979 på forlaget Munksgaard,ISBN: 87-16-08276-1,33900.jpg,15,5,"Hft. 20x21cm. 49 sider, illustreret. Brugt biblioteksbog. 129g.", Samfundsvidenskab,,,,,,,,,,
Milevognen og andre ældre opmålingssystemer,Erling Pade,1. udgave fra 1976 på forlaget Høst & Søns,ISBN: 87-14-57603-1,33500.jpg,40,5,"Indb. 21,5x21,5cm.153sider, illustreret. Udg.biblioteksbog i pæn stand. 608g.", Kunsthistorie, Lokalhistorie, Teknik,,,,,,,,
Danske grafikere 10. - Sigurd Vasegaard,Jan Garff, fra 1973 på forlaget Carit Andersens,ISBN: 87-424-1029-0,33426.jpg,25,5,"Hft. 47 sider, illustreret. 156g.", Studiebøger, Kunsthistorie,,,,,,,,,
Marienborg - et Nordsjællandsk landsted historie,Bredo L. Grandjean, fra 1977 på forlaget Historisk-topografisk selskab,ISBN: 87-87289-06-6,34070.jpg,25,5,"Indb. 71sider, illustreret.  309gram.", Lokalhistorie,,,,,,,,,,
Mytteri i Sydhavet - i Bountys kølvand,Arne Falk-Rønne, fra 1987 på forlaget Chr. Erichsen,ISBN: 87-555-1131-3,33978.jpg,25,5,"Indb. 267 sider, 601 gram", Samfund & historie, Opdagelsesrejser - ekspeditioner, Fortællinger, Dokumentar,,,,,,,
Dage i Norditalien,Peter Schindler, fra 1956 på forlaget H. Hirschsprungs,,33703.jpg,20,4,"Indb. 191sider, illustreret med fotos og tegninger. Udv.brugsspor. 673g.", Studiebøger, Historie:Kultur,,,,,,,,,
Husmandsbevægelsens historie gennem 25 Aar,P .V. Jeppesen," fra 1927 på forlaget Gyldendalske Boghandel, Nordisk",,33181.jpg,25,4,"Om de første 25 år af den danske Husmandsbevægelse. Indb. 368 sider, 804 gram.", Dokumentar, Samfund & historie,,,,,,,,,
Reiser til familien - Mennesker i utviklingland og de norske gjestearbeidere,Torolf Elster, fra 1983 på forlaget Aschehoug,ISBN: 82-03-11261-7,33570.jpg,35,5,"Indb. 18x25cm. 322 sider, illustreret. Norsk tekst. 907 gram.", Folkeslag, Etnografi og Antropologi,,,,,,,,,
Dage på Mikkelberg - en nordisk drøm i Sydslesvig,Finn Slumstrup, fra 2008 på forlaget Hovedland & Mikkelberg,ISBN: 978-87-7070-105-1,33924.jpg,50,6,"En fortælling om livet på det nordiske center, Mikkelberg, i Sydslesvig, om de personer der har drevet stedet gennem tiden, om kunstnerne fra begge sider af grænsen der har udstillet på centret, højskolemiljøet og idrætten mv. 
Indb. 207 sider, 742 gram.", Studiebøger, Samfund & historie, Lokalhistorie,,,,,,,,
Fumlere - tumlere og idræt,P. E. Dal - Frederiksen,2. udgave på forlaget Djurs,ISBN: 87-87656-04-3,33841.jpg,25,4,Gode illustrationer og fotos om leg som også er Idræt. Hft. 176 sider. der er noter i bogen. ellers god stand. 383g., Faglitteratur, Undervisning, Idræt,,,,,,,,
Godteprinsen et rigtig eventyr,A. Meander, fra 1981 på forlaget Minerva,ISBN: 87-87929-02-3,33582.jpg,15,5,"Et rigtigt eventyr med trolde, prinsesser og drager. 
Hardback 17,5x15cm. 32 sider, llustreret med tegninger af Elisabeth Rye. Fin stand. 198g.", Skønlitteratur, Børnebøger, Fortællinger, Fantasy,,,,,,,
Javel Frue! - 13-årig tjenestepige hos rig familie i Peru,Bjørn Førde,1. udgave fra 1982 på forlaget Mellemfolkeligt Samvirke,ISBN: 87-7028-347-8,34086.jpg,20,5,"Om13 årige Maria der sendes fra bjergene i Peru, til hovedstaden Lima for at arbejde som tjenestepige hos en rig familie. Om Marias fjendskaber,  venskaber og spændende oplevelser. Hft. 18x25cm. 63sider, illustreret med tegninger af Thorkil Clante. 184g.", Ungdom, Skønlitteratur,,,,,,,,,
Sudan - stepperegionen,Nils Hartmann og Torben Hartvig, fra 1978 på forlaget AV Media A/S,ISBN: 87-577-0162-8,33155.jpg,25,5,"Om Sudan, fortalt på en spændende måde, med tegninger og fotos i s-h- og farver, samt helt tæt på dagligliv, familien og  historien. Fin stand. Hft. 112sider, illustreret. 282g.", Afrika, Historie:Kultur,,,,,,,,,
Lev med din tid,P. Thisted Knudsen, fra 1973 på forlaget Malchow,ISBN: 87-851-3801-0,33502.jpg,20,5,"Hft. 93 sider, Citater. Illustreret med tegninger af Alex Secher. 164g.", Skønlitteratur, Filosofi, Digte,,,,,,,,
PORCELAIN - repair and Restoration,"Nigel Williams, British Museum", fra 1983 på forlaget British Museum Publications Ltd.,ISBN: 0-7141-8051-3,33598.jpg,40,5,"1) The history of porcelain repair. 2) Examination. 3) Dismantling and cleaning. 4) Joining. 5) Replacing missing parts. 6) Colour mixing. 7) Spray pens and paint-brushes. 8) The finishing touches.
Hft. 144sider, illustreret. 370g", Faglitteratur, Antikviteter,,,,,,,,,
Mal med Malene - en magisk bog med sjove farver,Harley Black, fra 2008 på forlaget Bogklubben Buster,ISBN: 87-90399-98-6,34088.jpg,20,6,"Her får du en evighedsblok med kort som tryller farverne frem for dig. Helt ny, har ikke været i brug. Indb. 18,5x18,5cm. 285gram.", Skønlitteratur, Legetøj, Børnebøger,,,,,,,,
Danske Grafikere 3. - S. Hjorth Nielsen,Leo Estvad, fra 1961 på forlaget Carit Andersen,,33313.jpg,20,4,"Hft. 47 sider, illustreret. 158g.", Studiebøger, Kunsthistorie,,,,,,,,,
Høstgildet - og 11 andre fortællinger,Martin A. Hansen, fra 1972 på forlaget Gyldendal ,ISBN: 87-00-38391-0,33701.jpg,10,4,Paperback. 172 sider. Udg.biblioteksbog. 132g., Skønlitteratur, Noveller,,,,,,,,,
